 13.900 |  14.300 | The |99%
 14.300 |  14.600 | human |99%
 14.600 |  14.700 | voice. |94%
 14.700 |  16.300 | It's |79%
 16.300 |  16.400 | the |78%
 16.400 |  16.600 | instrument. |97%
 16.600 |  17.000 | We |78%
 17.000 |  17.100 | will |85%
 17.100 |  17.400 | play. |99%
 18.400 |  18.900 | It's |99%
 18.900 |  18.900 | the |99%
 18.900 |  19.100 | most |99%
 19.100 |  19.500 | powerful |99%
 19.500 |  19.600 | sound |95%
 19.600 |  19.800 | in |94%
 19.800 |  19.900 | the |94%
 19.900 |  20.000 | world. |99%
 20.000 |  20.300 | Probably, |98%
 20.300 |  20.700 | it's |99%
 20.700 |  20.800 | the |99%
 20.800 |  20.900 | only |99%
 20.900 |  21.000 | one |99%
 21.000 |  21.100 | that |99%
 21.100 |  21.300 | can |99%
 21.300 |  21.600 | start |99%
 21.600 |  21.700 | a |99%
 21.700 |  22.000 | war |99%
 22.000 |  22.300 | or |99%
 22.300 |  22.600 | say |99%
 22.600 |  22.800 | I |99%
 22.800 |  23.100 | love |99%
 23.100 |  23.300 | you. |99%
 23.300 |  24.200 | And |99%
 24.200 |  24.400 | yet |99%
 24.400 |  24.600 | many |99%
 24.600 |  24.900 | people |99%
 24.900 |  25.000 | have |99%
 25.000 |  25.100 | the |99%
 25.100 |  25.400 | experience |99%
 25.400 |  25.600 | that |99%
 25.600 |  25.800 | when |99%
 25.800 |  26.000 | they |99%
 26.000 |  26.200 | speak |99%
 26.200 |  26.800 | people, |99%
 26.800 |  27.100 | don't |99%
 27.100 |  27.300 | listen |99%
 27.300 |  27.500 | to |99%
 27.500 |  27.700 | them. |99%
 27.700 |  28.700 | Why |99%
 28.700 |  28.900 | is |99%
 28.900 |  29.200 | that? |99%
 29.200 |  29.700 | How |99%
 29.700 |  29.800 | can |99%
 29.800 |  30.000 | we |99%
 30.000 |  30.200 | speak |99%
 30.200 |  30.300 | to |99%
 30.300 |  31.700 | make |99%
 31.700 |  32.200 | change |99%
 32.200 |  32.500 | in |99%
 32.500 |  32.700 | the |99%
 32.700 |  33.000 | world? |99%
 33.000 |  33.800 | But |91%
 33.800 |  33.900 | I |97%
 33.900 |  34.000 | like |99%
 34.000 |  34.200 | to |98%
 34.200 |  34.400 | suggest |99%
 34.400 |  34.800 | that |99%
 34.800 |  34.900 | we |99%
 34.900 |  36.300 | need |99%
