0:00:18.200000,0:00:18.700000,It's,0.9876290559768677
0:00:18.700000,0:00:18.700000,the,0.9876290559768677
0:00:18.700000,0:00:18.900000,most,0.9876290559768677
0:00:18.900000,0:00:19.300000,powerful,0.9876290559768677
0:00:19.300000,0:00:19.400000,sound,0.9380216002464294
0:00:19.400000,0:00:19.600000,in,0.93540358543396
0:00:19.600000,0:00:19.700000,the,0.9551125764846802
0:00:19.700000,0:00:19.700000,world.,0.9876290559768677
0:00:19.700000,0:00:20.100000,Probably,,1.0
0:00:20.100000,0:00:20.500000,it's,0.9876290559768677
0:00:20.500000,0:00:20.600000,the,0.9876290559768677
0:00:20.600000,0:00:20.700000,only,0.9876290559768677
0:00:20.700000,0:00:20.800000,one,0.9876290559768677
0:00:20.800000,0:00:20.900000,that,0.9876290559768677
0:00:20.900000,0:00:21.100000,can,0.9876290559768677
0:00:21.100000,0:00:21.500000,start,0.9876290559768677
0:00:21.500000,0:00:21.500000,a,0.9876290559768677
0:00:21.500000,0:00:21.800000,war,0.9876290559768677
0:00:21.800000,0:00:22.100000,or,0.9876290559768677
0:00:22.100000,0:00:22.400000,say.,0.9876290559768677
0:00:22.400000,0:00:22.600000,I,0.9876290559768677
0:00:22.600000,0:00:22.900000,love,0.9876290559768677
0:00:22.900000,0:00:23.100000,you.,0.9876290559768677
0:00:23.100000,0:00:24,And,0.9876290559768677
0:00:24,0:00:24.200000,yet,0.9876290559768677
0:00:24.200000,0:00:24.400000,many,0.9876290559768677
0:00:24.400000,0:00:24.700000,people,0.9876290559768677
0:00:24.700000,0:00:24.800000,have,0.9876290559768677
0:00:24.800000,0:00:24.900000,the,0.9876290559768677
0:00:24.900000,0:00:25.200000,experience,0.9876290559768677
0:00:25.200000,0:00:25.400000,that,0.9876290559768677
0:00:25.400000,0:00:25.600000,when,0.9876290559768677
0:00:25.600000,0:00:25.800000,they,0.9876290559768677
0:00:25.800000,0:00:26,speak,0.9876290559768677
0:00:26,0:00:26.600000,people,,0.9876290559768677
0:00:26.600000,0:00:26.900000,don't,0.9876290559768677
0:00:26.900000,0:00:27.100000,listen,0.9876290559768677
0:00:27.100000,0:00:27.300000,to,0.9876290559768677
0:00:27.300000,0:00:27.500000,them.,0.9876290559768677
0:00:27.500000,0:00:28.500000,Why,0.9876290559768677
0:00:28.500000,0:00:28.700000,is,0.9876290559768677
0:00:28.700000,0:00:29,that?,0.9876290559768677
0:00:29,0:00:29.500000,How,0.9876290559768677
0:00:29.500000,0:00:29.600000,can,0.9876290559768677
0:00:29.600000,0:00:29.800000,we,0.9876290559768677
0:00:29.800000,0:00:30,speak,0.9876290559768677
0:00:30,0:00:30.100000,to,0.9876290559768677
0:00:30.100000,0:00:31.500000,make,0.9876290559768677
0:00:31.500000,0:00:32,change,0.9876290559768677
0:00:32,0:00:32.300000,in,0.9876290559768677
0:00:32.300000,0:00:32.500000,the,0.9876290559768677
0:00:32.500000,0:00:32.800000,world?,0.9876290559768677
0:00:32.800000,0:00:33.600000,But,0.8672206997871399
0:00:33.600000,0:00:33.700000,I,0.9815754294395447
0:00:33.700000,0:00:33.800000,like,0.9876290559768677
0:00:33.800000,0:00:34,to,0.9747860431671143
0:00:34,0:00:34.200000,suggest,0.9876290559768677
0:00:34.200000,0:00:34.600000,that,0.9876290559768677
0:00:34.600000,0:00:34.700000,we,0.9876290559768677
0:00:34.700000,0:00:36.100000,need,0.9876290559768677
0:00:36.100000,0:00:36.200000,to,0.9876290559768677
0:00:36.200000,0:00:36.300000,move,0.9876290559768677
0:00:36.300000,0:00:36.600000,away,0.9876290559768677
0:00:36.600000,0:00:36.800000,from.,0.9876290559768677
0:00:36.800000,0:00:37.100000,I've,0.7857085466384888
0:00:37.100000,0:00:37.300000,I've,0.7857085466384888
0:00:37.300000,0:00:38,assembled,0.9876290559768677
0:00:38,0:00:38.300000,for,0.8502654433250427
0:00:38.300000,0:00:38.500000,your,0.9876290559768677
0:00:38.500000,0:00:39,pleasure,,0.9876290559768677
0:00:39,0:00:39.400000,his,0.728849470615387
0:00:39.400000,0:00:39.700000,seven,0.9876290559768677
0:00:39.700000,0:00:40.100000,deadly,0.9876290559768677
0:00:40.100000,0:00:40.500000,sins,0.9876290559768677
0:00:40.500000,0:00:40.500000,of,0.9876290559768677
0:00:40.500000,0:00:41,speaking.,0.9876290559768677
0:00:41,0:00:41.600000,I'm,0.9876290559768677
0:00:41.600000,0:00:41.700000,not,0.9876290559768677
0:00:41.700000,0:00:42,pretending,,0.9876290559768677
0:00:42,0:00:42.200000,this,0.9876290559768677
0:00:42.200000,0:00:42.400000,is,0.9876290559768677
0:00:42.400000,0:00:42.500000,an,0.9876290559768677
0:00:42.500000,0:00:43.100000,exhaustive,0.9876290559768677
0:00:43.100000,0:00:43.100000,list,0.9876290559768677
0:00:43.100000,0:00:44,but,0.9876290559768677
0:00:44,0:00:44.600000,these,0.9794291257858276
0:00:44.600000,0:00:44.900000,seven,0.8767461776733398
0:00:44.900000,0:00:45,I,0.9876290559768677
0:00:45,0:00:45.300000,think,0.9243088960647583
0:00:45.300000,0:00:45.400000,I'm,0.9606741666793823
0:00:45.400000,0:00:45.600000,pretty,0.9876290559768677
0:00:45.600000,0:00:46,large.,0.9876290559768677
0:00:46,0:00:47.200000,Haven't,0.7241124510765076
0:00:47.200000,0:00:47.300000,said,0.7241119146347046
0:00:47.300000,0:00:47.500000,we,0.9876290559768677
0:00:47.500000,0:00:47.800000,can,0.9876290559768677
0:00:47.800000,0:00:48,all,0.9876290559768677
0:00:48,0:00:48.100000,fit,0.9876290559768677
0:00:48.100000,0:00:48.400000,into,0.9876290559768677
0:00:48.400000,0:00:49.500000,first.,0.9876290559768677
0:00:49.500000,0:00:50.700000,Got,0.9876290559768677
0:00:50.700000,0:00:50.900000,it,,0.9876290559768677
0:00:50.900000,0:00:52.800000,if,0.9876290559768677
0:00:52.800000,0:00:53,somebody,0.9876290559768677
0:00:53,0:00:53.200000,who's,0.9876290559768677
0:00:53.200000,0:00:53.400000,not,0.9876290559768677
0:00:53.400000,0:00:54.800000,a,0.38609933853149414
0:00:54.800000,0:00:55.100000,nice,0.9876290559768677
0:00:55.100000,0:00:55.400000,habit,0.9255132079124451
0:00:55.400000,0:00:55.600000,and,0.9448879957199097
0:00:55.600000,0:00:55.700000,we,0.9876290559768677
0:00:55.700000,0:00:55.900000,know,0.9876290559768677
0:00:55.900000,0:00:56.300000,perfectly,0.9876290559768677
0:00:56.300000,0:00:56.500000,well,0.9876290559768677
0:00:56.500000,0:00:56.500000,the,0.9876290559768677
0:00:56.500000,0:00:56.900000,person,0.9876290559768677
0:00:56.900000,0:00:57,goes,0.9876290559768677
0:00:57,0:00:57.100000,to,0.9876290559768677
0:00:57.100000,0:00:57.300000,paying,0.9876290559768677
0:00:57.300000,0:00:57.900000,5,0.9830821752548218
0:00:57.900000,0:00:58.100000,minutes,0.9876290559768677
0:00:58.100000,0:00:58.500000,later,0.8859721422195435
0:00:58.500000,0:00:59,will,0.8859721422195435
0:00:59,0:00:59.100000,be,0.9876290559768677
0:00:59.100000,0:00:59.500000,gossiping,0.9484289884567261
